Symptom,Model,Balanced_Accuracy,ROC_AUC,F1_Score,,
physSx_1,XGBoost-Optimized,0.591,0.624,0.559,,
physSx_1,LightGBM,0.549,0.572,0.482,,
physSx_1,CatBoost,0.589,0.586,0.545,,
physSx_1,RandomForest,0.591,0.621,0.536,,
physSx_1,ExtraTrees,0.586,0.627,0.56,,
physSx_1,TabNet-Deep,0.605,0.643,0.577,,
physSx_1,VotingEnsemble,0.559,0.597,0.507,,
physSx_1,StackingEnsemble,0.582,0.624,0.523,,
physSx_2,XGBoost-Optimized,0.563,0.608,0.598,,
physSx_2,LightGBM,0.558,0.579,0.631,,
physSx_2,CatBoost,0.578,0.612,0.646,,
physSx_2,RandomForest,0.575,0.597,0.638,,
physSx_2,ExtraTrees,0.573,0.603,0.624,,
physSx_2,TabNet-Deep,0.603,0.607,0.671,,
physSx_2,VotingEnsemble,0.553,0.601,0.622,,
physSx_2,StackingEnsemble,0.579,0.609,0.672,,
physSx_3,XGBoost-Optimized,0.58,0.622,0.594,,
physSx_3,LightGBM,0.556,0.582,0.571,,
physSx_3,CatBoost,0.561,0.586,0.58,,
physSx_3,RandomForest,0.578,0.626,0.621,,
physSx_3,ExtraTrees,0.59,0.622,0.619,,
physSx_3,TabNet-Deep,0.604,0.625,0.624,,
physSx_3,VotingEnsemble,0.556,0.603,0.578,,
physSx_3,StackingEnsemble,0.59,0.61,0.624,,
physSx_4,XGBoost-Optimized,0.623,0.666,0.737,,
physSx_4,LightGBM,0.581,0.641,0.774,,
physSx_4,CatBoost,0.598,0.658,0.789,,
physSx_4,RandomForest,0.594,0.678,0.789,,
physSx_4,ExtraTrees,0.631,0.687,0.769,,
physSx_4,TabNet-Deep,0.631,0.639,0.791,,
physSx_4,VotingEnsemble,0.597,0.666,0.782,,
physSx_4,StackingEnsemble,0.573,0.685,0.806,,
physSx_5,XGBoost-Optimized,0.559,0.616,0.274,,
physSx_5,LightGBM,0.546,0.599,0.228,,
physSx_5,CatBoost,0.547,0.619,0.219,,
physSx_5,RandomForest,0.542,0.647,0.208,,
physSx_5,ExtraTrees,0.563,0.647,0.305,,
physSx_5,TabNet-Deep,0.591,0.618,0.352,,
physSx_5,VotingEnsemble,0.557,0.626,0.246,,
physSx_5,StackingEnsemble,0.509,0.633,0.054,,
physSx_6,XGBoost-Optimized,0.595,0.685,0.409,,
physSx_6,LightGBM,0.582,0.648,0.399,,
physSx_6,CatBoost,0.592,0.679,0.402,,
physSx_6,RandomForest,0.599,0.678,0.41,,
physSx_6,ExtraTrees,0.637,0.703,0.5,,
physSx_6,TabNet-Deep,0.613,0.67,0.454,,
