Symptom,Model,Feature,Importance
physSx_1,ElasticNet,achievement_stress_interaction,0.30981278322960465
physSx_1,ElasticNet,belong_m_log,0.3228412197858304
physSx_1,ElasticNet,low_efficacy_high_stress,0.33648008302603855
physSx_1,ElasticNet,achievement_gap,0.4336577559185018
physSx_1,ElasticNet,swb_m_min,0.5218120846255088
physSx_2,ElasticNet,support_m_std,0.3409205908681538
physSx_2,ElasticNet,support_m_min,0.3579347228980691
physSx_2,ElasticNet,social_new_m_std,0.3987832656141457
physSx_2,ElasticNet,support_m_squared,0.6710313294362723
physSx_2,ElasticNet,stress_support_interaction,0.7029446989191224
physSx_3,ElasticNet,transgres_m,0.29762249711957145
physSx_3,ElasticNet,efficacy_m_min,0.30400732933998237
physSx_3,ElasticNet,stress_support_interaction,0.3943192084565189
physSx_3,ElasticNet,emotional_awareness_deficit,0.40770890865276643
physSx_3,ElasticNet,support_m_squared,0.5792981455030436
physSx_4,ElasticNet,transgres_m_max,0.2702530129236256
physSx_4,ElasticNet,social_new_m_max,0.29102762302557883
physSx_4,ElasticNet,stress_amplification,0.2967733049427419
physSx_4,ElasticNet,swb_m_squared,0.39632292267877506
physSx_4,ElasticNet,stress_support_interaction,0.6276193125514371
physSx_5,ElasticNet,social_conn_m_std,0.3426250573202042
physSx_5,ElasticNet,stress_support_interaction,0.36497913312657576
physSx_5,ElasticNet,low_efficacy_high_stress,0.3757077942945576
physSx_5,ElasticNet,belong_m_log,0.4496908825494204
physSx_5,ElasticNet,social_conn_m_min,0.45551619790649117
physSx_6,ElasticNet,achievement_gap_squared,0.37857428316812464
physSx_6,ElasticNet,perfectionism_stress,0.4033989824840702
physSx_6,ElasticNet,stress_support_interaction,0.4311621524734549
physSx_6,ElasticNet,exploit_m_std,0.4770353568041722
physSx_6,ElasticNet,exploit_m_max,0.7616965887565752
physSx_7,ElasticNet,social_new_m_max,0.44351823435114646
physSx_7,ElasticNet,transgres_m_std,0.5298770904621609
physSx_7,ElasticNet,transgres_m_max,0.5357265145938541
physSx_7,ElasticNet,exploit_m,0.561720954979842
physSx_7,ElasticNet,social_new_m,0.8602871961972942
physSx_8,ElasticNet,achievement_gap,0.26266484397435935
physSx_8,ElasticNet,stress_m_log,0.268316757150631
physSx_8,ElasticNet,mindful_m_squared,0.35560426883173
physSx_8,ElasticNet,mindful_m_log,0.37504787200355055
physSx_8,ElasticNet,achievement_stress_interaction,0.4272253001011968
physSx_9,ElasticNet,mindful_m_squared,0.2539717652039664
physSx_9,ElasticNet,support_m_std,0.25577422657002113
physSx_9,ElasticNet,mindful_m_log,0.34253135657977063
physSx_9,ElasticNet,health_anxiety_proxy,0.3631250760673185
physSx_9,ElasticNet,social_new_m,0.38749742047215047
physSx_10,ElasticNet,swb_m_min,0.30838735456689065
physSx_10,ElasticNet,efficacy_belong_interaction,0.33041853700356366
physSx_10,ElasticNet,perfectionism_stress,0.37912384351191725
physSx_10,ElasticNet,achievement_gap_squared,0.38234122356835487
physSx_10,ElasticNet,belong_m_squared,0.391431885891038
physSx_11,ElasticNet,social_new_m_min,0.32880394712351585
physSx_11,ElasticNet,exploit_m_min,0.33815086767787644
physSx_11,ElasticNet,exploit_m,0.42247194898334034
physSx_11,ElasticNet,belong_m_squared,0.4304054099198349
physSx_11,ElasticNet,belong_m_log,0.5309876664322571
physSx_12,ElasticNet,emotional_awareness_deficit,0.3715251590187599
physSx_12,ElasticNet,transgres_m,0.4510434486155732
physSx_12,ElasticNet,sex_stress,0.47287405033992047
physSx_12,ElasticNet,transgres_m_std,0.5353467843489359
physSx_12,ElasticNet,transgres_m_max,0.8915946621589818
physSx_13,ElasticNet,belong_m_squared,0.32592286680333504
physSx_13,ElasticNet,disability_m_max,0.3476276388720952
physSx_13,ElasticNet,efficacy_m_squared,0.35304573578679926
physSx_13,ElasticNet,swb_m_squared,0.3718063335187459
physSx_13,ElasticNet,disability_m_std,0.3803438746571946
