Feature,mean,std,count
exploit_m_max,0.887178233017159,,1
transgres_m_std,0.6558792802707972,0.5005721226298241,2
exploit_m_std,0.5734655242456648,,1
social_new_m,0.5338029129665722,0.32931619461835554,3
social_conn_m_min,0.4899699315810084,,1
stress_support_interaction,0.48725887679023566,0.17564309499268516,7
perfectionism_stress,0.42959223424406606,0.0695266218276877,3
swb_m_min,0.4156730959162092,0.09562854348267155,3
exploit_m,0.41316796838038783,0.27899881471779964,2
achievement_gap_squared,0.4118176414365396,0.05830618644270746,4
support_m_squared,0.4079387445638131,0.18422222014853193,4
belong_m_squared,0.39252310295303294,0.2547325136758508,5
low_efficacy_high_stress,0.39145771187929185,0.07825129467691311,2
transgres_m_max,0.385336568239339,0.40336251185935745,5
efficacy_m_squared,0.36827077045802326,,1
achievement_stress_interaction,0.3474504349373734,0.10592913032864869,4
social_conn_m,0.3298833406201235,,1
disability_m_max,0.32609169717403663,,1
social_new_m_min,0.3151323919946219,0.10933300990728599,3
social_new_m_max,0.31260351242527395,0.1034015965914728,5
efficacy_m_log,0.3110361150390409,0.07536978396830428,2
belong_m_log,0.30817657067371146,0.10317140125149919,6
exploit_m_min,0.30207765088798705,0.15682845680801122,2
social_new_m_std,0.29807207236069533,0.09464101270526008,4
achievement_gap,0.28497931352845673,0.1253559531576119,5
social_conn_m_std,0.2824009546676134,0.13794571814273043,2
stress_support_ratio,0.27568771581248647,,1
support_m_max,0.26595530435295484,,1
swb_m_std,0.2638071125637115,0.05761762320260184,2
sex_1.0,0.2598572879515629,0.20961453545828007,6
mindful_m_log,0.2568930246001783,0.17252139322827958,4
support_m_min,0.25012710848466674,0.1011462887691167,3
idea_m_min,0.24885042347053923,0.0073946021225950636,3
disability_m,0.24354466977772893,,1
stress_m_squared,0.23750798466368978,0.04943448295213638,2
catastrophizing_score,0.23511857654624757,0.198565254429996,4
support_m_std,0.233631326129098,0.14524622055686076,3
stress_m_log,0.23277086911986852,0.03839285270556339,4
sex_stress,0.23148368365103478,0.30373159452894555,5
efficacy_belong_interaction,0.23071277986229743,0.05088479424162383,5
mindful_m_squared,0.22730786829736332,0.15409986158242533,4
social_conn_m_max,0.22623446991072785,0.10004509850067107,2
disability_m_std,0.22384662042029513,0.17844469609155347,5
swb_m_squared,0.21968589888535917,0.19781918520931074,5
moa_achievement_m_std,0.21170029845736776,0.05619954709361663,2
stress_amplification,0.2036988621772795,0.1319446339652913,5
idea_m_std,0.19021206303201407,0.03696954781348215,2
moa_importance_m_std,0.18699247789790782,0.03801827047679635,2
support_m_log,0.18655912796040283,,1
belong_m_min,0.18589331783370985,,1
efficacy_m_min,0.17790716045626434,,1
efficacy_m_max,0.17750327640751346,,1
moa_achievement_m,0.16844471665148278,,1
mindful_m_std,0.15836214296754447,0.10204511721402258,2
swb_m_log,0.15591020761141702,0.1313549072740554,3
swb_m,0.1451935077600163,0.24671509652753504,4
emotional_awareness_deficit,0.13054381530019946,0.21438918513588348,4
transgres_m,0.1305069395175258,0.17174722610391355,2
health_anxiety_proxy,0.12508800113042917,0.207500609313174,3
sex_2.0,0.11304709795944393,0.14917120860903726,2
stress_m_std,0.10332031112706161,,1
belong_m_std,0.08739982767373174,0.093228770486834,3
idea_m,0.07574668636504076,,1
social_isolation,0.07102189766148419,,1
overall_mean,0.06887451605651217,,1
overall_std,0.06780228819410149,0.08460161971079036,4
overall_kurtosis,0.06440752341969412,,1
somatization_proneness,0.030720810135658253,0.03819073043075221,3
swb_m_sqrt,0.0051947023522406505,0.0015270424011946016,2
mindful_m,0.004630737154093613,0.0004907009308254579,2
mindful_m_sqrt,0.004446890182939642,,1
