Predictor,mean,std,count
Social Media - Making New Connections,0.803485272382471,0.48832382702580907,9
Interpersonal Exploitativeness,0.6719022512169088,0.7593185454112124,6
Subjective Well-Being,0.6390057064873841,0.5430085169257124,12
Need to Belong,0.6119267187595961,0.4415905639004595,13
Interpersonal Transgressions,0.6025112074514334,0.7483262727681016,10
Perceived Social Support,0.544492819122811,0.46562713537895645,12
Mindfulness,0.5351938421903136,0.39804927852893157,11
Efficacy/Competence,0.49951081175947537,0.3924076085251597,10
Social Media - Maintaining Connections,0.4877715503444263,0.45194605569279167,10
stress_support_interaction,0.4853594928956899,0.15999162333762115,7
low_efficacy_high_stress,0.4009169123595299,0.08912220188462973,2
achievement_gap_squared,0.3916510927333894,0.033723534949909456,3
perfectionism_stress,0.37798195306106175,0.05986680203489055,3
Perceived Stress,0.37255108273466225,0.26468783739855234,12
achievement_gap,0.3703912208497268,0.09215703725574234,3
achievement_stress_interaction,0.3524015079602694,0.10945429258622431,4
Disability Identity & Status,0.3408743056095392,0.27865949077744,10
Markers of Adulthood - Achievement,0.33219676011150484,0.22780292716648995,5
Identity Exploration (IDEA-8),0.3191632363962608,0.21636533369835909,7
Sex,0.289597018263065,0.3008432074419821,11
stress_support_ratio,0.2738830028626129,,1
efficacy_belong_interaction,0.24594618824290845,0.0453731817013546,4
Income,0.2430684718047759,0.09259832589053611,6
catastrophizing_score,0.2383241193258818,,1
Markers of Adulthood - Importance,0.22056896950461408,0.15980348479857287,7
Education,0.20026313900548495,,1
health_anxiety_proxy,0.18567345063770233,0.2540176644397644,2
stress_amplification,0.17888403555611468,0.14658174002888358,6
Social Media - Information Seeking,0.09595459329622125,,1
American Dream,0.060190772381366664,0.07700020903228448,2
overall_std,0.007354125452588752,0.0017612669115017942,2
emotional_awareness_deficit,0.0072745044006876,,1
somatization_proneness,0.006719216857067424,,1
